species,x,y
estast,-8.54193,42.2058
estast,-8.4586,42.2058
estast,-8.29193,42.2058
estast,-8.79193,42.1225
estast,-8.7086,42.1225
estast,-8.54193,42.1225
estast,-8.4586,42.1225
estast,-8.29193,42.1225
estast,-8.2086,42.1225
estast,-8.79193,42.0391
estast,-8.7086,42.0391
estast,-8.62527,42.0391
estast,-8.54193,42.0391
estast,-8.4586,42.0391
estast,-8.37527,42.0391
estast,2.62473,42.0391
estast,3.0414,42.0391
estast,-8.79193,41.9558
estast,-8.7086,41.9558
estast,1.87473,41.9558
estast,1.95807,41.9558
estast,2.7914,41.9558
estast,-8.79193,41.8725
estast,-8.62527,41.8725
estast,2.87473,41.8725
estast,-8.79193,41.7891
estast,-8.7086,41.7891
estast,-8.62527,41.7891
estast,-8.54193,41.7891
estast,-8.4586,41.7891
estast,-7.4586,41.7891
estast,0.791401,41.7891
estast,2.70807,41.7891
estast,2.95807,41.7891
estast,-8.79193,41.7058
estast,-8.7086,41.7058
estast,-8.62527,41.7058
estast,-8.54193,41.7058
estast,-8.4586,41.7058
estast,-8.37527,41.7058
estast,0.708067,41.7058
estast,1.87473,41.7058
estast,2.0414,41.7058
estast,2.20807,41.7058
estast,2.2914,41.7058
estast,2.5414,41.7058
estast,2.62473,41.7058
estast,2.70807,41.7058
estast,2.7914,41.7058
estast,2.87473,41.7058
estast,-8.79193,41.6225
estast,-8.7086,41.6225
estast,-8.62527,41.6225
estast,-8.4586,41.6225
estast,-8.29193,41.6225
estast,-8.2086,41.6225
estast,-8.12527,41.6225
estast,1.87473,41.6225
estast,1.95807,41.6225
estast,2.0414,41.6225
estast,2.12473,41.6225
estast,2.20807,41.6225
estast,2.2914,41.6225
estast,2.37473,41.6225
estast,2.45807,41.6225
estast,2.5414,41.6225
estast,-8.7086,41.5391
estast,-8.62527,41.5391
estast,-8.54193,41.5391
estast,-8.4586,41.5391
estast,-8.37527,41.5391
estast,-8.29193,41.5391
estast,-8.12527,41.5391
estast,-7.9586,41.5391
estast,-7.2086,41.5391
estast,1.87473,41.5391
estast,1.95807,41.5391
estast,2.0414,41.5391
estast,2.12473,41.5391
estast,2.20807,41.5391
estast,2.2914,41.5391
estast,2.37473,41.5391
estast,-8.7086,41.4558
estast,-8.54193,41.4558
estast,-8.29193,41.4558
estast,-8.12527,41.4558
estast,-7.87527,41.4558
estast,-7.2086,41.4558
estast,-7.12527,41.4558
estast,0.291401,41.4558
estast,0.374734,41.4558
estast,0.458067,41.4558
estast,1.95807,41.4558
estast,2.0414,41.4558
estast,2.12473,41.4558
estast,2.20807,41.4558
estast,-8.7086,41.3725
estast,-8.62527,41.3725
estast,-8.54193,41.3725
estast,-8.4586,41.3725
estast,-8.2086,41.3725
estast,-7.9586,41.3725
estast,-7.7086,41.3725
estast,-7.62527,41.3725
estast,-7.04193,41.3725
estast,-6.9586,41.3725
estast,-6.87527,41.3725
estast,0.208067,41.3725
estast,1.95807,41.3725
estast,2.0414,41.3725
estast,2.12473,41.3725
estast,-8.7086,41.2891
estast,-8.62527,41.2891
estast,-8.4586,41.2891
estast,-8.37527,41.2891
estast,-8.29193,41.2891
estast,-7.79193,41.2891
estast,-7.7086,41.2891
estast,-7.62527,41.2891
estast,-7.54193,41.2891
estast,-7.37527,41.2891
estast,-7.12527,41.2891
estast,1.87473,41.2891
estast,1.95807,41.2891
estast,2.0414,41.2891
estast,-8.7086,41.2058
estast,-8.62527,41.2058
