"sp"	"x"	"y"
"araacu"	-60.554993	-24.733212
"araacu"	-65.25588	-23.991533
"araacu"	-63.955	-23.895666
"araacu"	-63.535164	-27.35196
"araacu"	-61.07493	-25.248693
"araacu"	-65.65199	-18.138624
"araacu"	-61.48314	-35.690887
"araacu"	-59.414837	-22.00901
"araacu"	-60.413662	-26.320885
"araacu"	-72.0776	3.433244
"araacu"	-70.552505	11.016372
"araacu"	-61.66132	-23.992155
"araacu"	-56.692314	-28.333387
"araacu"	-57.362694	-18.457642
"araacu"	-59.86484	-27.00204
"araacu"	-64.17108	-37.966824
"araacu"	-46.35792	-13.734687
"araacu"	-69.47312	-31.63409
"araacu"	-72.750305	5.023049
"araacu"	-64.30273	-36.54545
"araacu"	-64.297714	-19.313898
"araacu"	-70.41457	5.49217
"araacu"	-56.889973	-26.594969
"araacu"	-122.473488	37.801455
"araacu"	-60.852886	-18.179207
"araacu"	-64.01892	-25.286766
"araacu"	-68.82382	12.084634
"araacu"	-61.758377	-29.274233
"araacu"	-63.406567	-18.008392
"araacu"	-66.219124	-28.396046
"araacu"	-63.669334	-21.671343
"araacu"	-61.24363	-29.982447
"araacu"	-62.78865	-26.68556
"araacu"	-56.713013	-20.535826
"araacu"	-68.8359	6.151392
"araacu"	-72.277596	4.824369
"araacu"	-56.595475	-17.204405
"araacu"	-64.57632	-33.647842
"araacu"	-63.711517	-29.54888
"araacu"	-60.72912	-17.777597
"araacu"	-62.196823	-17.607212
"araacu"	-64.06089	-27.225975
"araacu"	-39.725586	-9.418105
"araacu"	-57.39214	-23.06422
"araacu"	-54.43333	-24.78333
"araacu"	-62.293705	-26.035885
"araacu"	-60.6423	-25.92393
"araacu"	-57.83652	-16.566683
"araacu"	-60.047546	-25.07764
"araacu"	-65.46439	-32.804157
"araacu"	-58.852943	-30.407524
"araacu"	-87.803521	42.410421
"araacu"	-65.959496	-30.53887
"araacu"	-38.609856	-9.46297
"araacu"	-61.22316	-16.797722
"araacu"	-60.71716	-16.56117
"araacu"	-62.680153	-37.105198
"araacu"	-61.09817	-16.03621
"araacu"	-57.030586	-19.64263
"araacu"	-60.338726	-22.357557
"araacu"	-62.36841	-39.09988
"araacu"	-38.246735	-10.180916
"araacu"	-60.667473	-21.1005
"araacu"	-59.91787	-29.496786
"araacu"	-58.059696	-29.789633
"araacu"	-67.1175	-32.5755
"araacu"	-67.12806	-34.68528
"araacu"	-64.19871	-17.310368
"araacu"	-63.91273	-20.551764
"araacu"	-63.19194	-24.62891
"araacu"	-63.3802	-23.2908
"araacu"	-0.822335	38.531986
"araacu"	-42.791832	-5.070147
"araacu"	-56.908	-25.658
"araacu"	-72.54196	3.686732
"araacu"	-45.49217	-11.871533
"araacu"	-64.79382	-16.84711
"araacu"	-62.791496	-25.823864
"araacu"	-66.6333	-33.6667
"araacu"	-65.10183	-35.70216
"araacu"	-68.837139	5.78375
"araacu"	-61.202263	-27.20154
"araacu"	-70.77604	4.857103
"araacu"	-71.8085	5.35617
"araacu"	-58.631985	-29.35953
"araacu"	-56.858932	-24.916302
"araacu"	-61.508846	-25.664428
"araacu"	-72.3573	10.806982
"araacu"	-73.077965	4.539805
"araacu"	-59.395393	-31.185316
"araacu"	-59.899	-25.8113
"araacu"	-64.373886	-30.773611
"araacu"	-64.799614	-37.660656
"araacu"	-57.43159	-37.74653
"araacu"	-58.425594	-35.01571
"araacu"	-40.6771	-9.74094
"araacu"	-59.62057	-30.688839
"araacu"	-58.15651	-25.273912
"araacu"	-65.32833	-24.503511
"araacu"	-58.2753	-28.10067
"araacu"	-57.283745	-28.62634
"araacu"	-64.028496	-24.696974
"araacu"	-9.389228	38.79271
"araacu"	-65.290016	-36.702976
"araacu"	-59.583096	-25.384481
"araacu"	-73.955025	3.800111
"araacu"	-58.97067	-26.16666
"araacu"	-71.7	6.28
"araacu"	-80.72342	28.662876
"araacu"	-55.483334	-25.633333
"araacu"	-61.336666	-21.486166
"araacu"	-71.70747	10.589708
"araacu"	-42.925775	-19.052086
"araacu"	-60.196987	-24.212877
"araacu"	-64.97145	-26.311108
"araacu"	-57.84441	-21.09977
"araacu"	-56.263046	-27.411547
"araacu"	-57.64591	-27.414062
"araacu"	-58.133335	-20.383333
"araacu"	-55.8401	-28.1498
"araacu"	-56.853783	-15.169442
"araacu"	-54.43202	-25.686438
"araacu"	-56.501377	-16.019487
"araacu"	-62.9948	-23.561256
"araacu"	-67.147705	-33.40601
"araacu"	-69.477234	9.83596
"araacu"	-68.43388	-14.66774
"araacu"	-71.910591	12.184858
"araacu"	-73.49311	11.257889
"araacu"	-64.30152	-23.048481
"araacu"	-71.90167	5.910681
"araacu"	-65.759995	-38.11716
"araacu"	-63.333668	-24.150667
"araacu"	-71.43293	10.941316
"araacu"	-56.3503	-16.3811
"araacu"	-80.35201	27.633543
"araacu"	-82.01513	26.45206
"araacu"	-68.83264	-32.981335
"araacu"	-67.54167	-30.558565
"araacu"	-116.91708	32.85833
"araacu"	-59.305832	-24.27389
"araacu"	-56.2	-23.23
"araacu"	-64.66913	-30.468428
"araacu"	-47.469734	-7.033005
"araacu"	-46.65734	-7.25983
"araacu"	-59.973293	-17.82265
"araacu"	-71.166664	6.883333
"araacu"	-67.29654	-31.024105
"araacu"	-71.82744	11.151978
"araacu"	-68.68253	-30.406488
"araacu"	-72.9136	4.1809
"araacu"	-66.483765	-31.316101
"araacu"	-45.93328	-22.222767
"araacu"	-46.372566	-9.962602
"araacu"	-61.6524	-15.7188
"araacu"	-57.035766	-15.854999
"araacu"	-39.147377	-9.92189
"araacu"	-73.2483	3.7126
"araacu"	-62.963	-19.988
"araacu"	-57.28417	-26.223167
"araacu"	-62.961388	-38.308224
"araacu"	-66.0473	-33.111553
"araacu"	-57.625263	-21.678885
"araacu"	-157.99872	21.705164
"araacu"	-58.546455	-22.844862
"araacu"	-68.224815	-29.319744
"araacu"	-63.014767	-17.513517
"araacu"	-64.43439	-31.84016
"araacu"	-62.86595	-28.751646
"araacu"	-62.67667	-28.08196
"araacu"	-55.05169	-19.628338
"araacu"	0.839145	40.730392
"araacu"	-62.88454	-30.925714
"araacu"	-64.2823	-37.12079
"araacu"	-80.309456	25.256573
"araacu"	-67.13483	-27.71556
"araacu"	-57.477924	-17.676733
"araacu"	-82.8314	28.0706
"araacu"	-63.38591	-19.730474
"araacu"	-59.578465	-28.962198
"araacu"	-75.369	9.505
"araacu"	-56.618824	-18.988226
"araacu"	-63.44472	-20.369722
"araacu"	-56.087952	-19.543614
"araacu"	-55.77993	-15.425553
"araacu"	-64.92542	-25.857988
"araacu"	3.45	51.5
"araacu"	-60.684486	-29.671648
"araacu"	-61.71036	-26.281036
"araacu"	-56.0083	-17.5393
"araacu"	-57.928066	-35.76699
"araacu"	-70.03542	9.518828
"araacu"	-59.58019	-18.330566
"araacu"	-69.22569	11.3962
"araacu"	-58.583332	-34.666668
"araacu"	-57.273617	-35.234962
"araacu"	-66.61021	-30.80013
"araacu"	-47.53368	-10.739717
"araacu"	-68.5005	5.283667
"araacu"	-59.819	-19.372
"araacu"	-96.134143	15.769197
"araacu"	-67.61557	7.646632
"araacu"	-64.816055	-19.07985
"araacu"	-61.588326	4.471353
"araacu"	-62.94754	-20.556295
"araacu"	-42.356285	-8.301188
"araacu"	-118.32024	34.268948
"araacu"	-60.430676	-26.786572
"araacu"	-61.841156	-25.16329
"araacu"	-62.239983	-24.820782
"araacu"	-57.052	-16.5414
"araacu"	-59.6525	-23.084444
"araacu"	-59.47174	-16.60461
"araacu"	-60.666504	-21.93795
"araacu"	-8.879332	42.497173
"araacu"	-66.65405	-32.002254
"araacu"	-68.00949	-32.307175
"araacu"	-157.79515	21.25764
"araacu"	-57.166668	-22.416666
"araacu"	-58.687626	-33.493654
"araacu"	-63.1169	-29.322071
"araacu"	-62.35	-21.633333
"araacu"	-61.73528	-19.627777
"araacu"	-61.883335	-20.836666
"araacu"	-56.416767	-14.833114
"araacu"	-56.722412	-17.596903
"araacu"	-61.21376	-26.5328
"araacu"	-66.942	9.373093
"araacu"	-56.66744	-21.00864
"araacu"	-60.016666	-21.733334
"araacu"	-61.916668	-22.533333
"araacu"	-64.13584	8.35962
"araacu"	-6.35075	38.913277
"araacu"	-61.41923	6.181882
"araacu"	-67.580246	8.569956
"araacu"	-59.501232	-29.99364
"araacu"	-63.94455	-22.193127
"araacu"	-61.083984	-14.881087
"araacu"	-65.47079	-34.7474
"araacu"	-64.80524	10.075854
"araacu"	-55.931107	-9.597261
"araacu"	-65.41964	-16.972658
"araacu"	-65.18154	-18.206524
"araacu"	-64.77539	-17.808842
"araacu"	-66.157166	-25.118334
"araacu"	-61.72603	7.36831
"araacu"	-81.762146	26.11375
"araacu"	-60.748333	-23.489445
"araacu"	-60.9	-19.875278
"araacu"	-61.58	-20.29
"araacu"	-59.05	-22.316668
"araacu"	-62.957497	-36.74989
"araacu"	-58.204445	-19.965834
"araacu"	-64.05373	-19.637413
"araacu"	-58.884445	-21.07
"araacu"	-69.71128	11.186711
"araacu"	-57.45	-24.883333
"araacu"	-59.3025	-19.983889
"araacu"	-58.623333	-19.809166
"araacu"	-59.752224	-21.144167
"araacu"	-59.32	-22.680555
"araacu"	-42.555065	-8.828997
"araacu"	-59.833332	-22.383333
"araacu"	-62.765694	-17.9336
"araacu"	-62.935	-18.468334
"araacu"	-62.52139	-18.959167
"araacu"	-56.16	-23.83
"araacu"	-39.89994	-8.986654
"araacu"	-58.121944	-26.630556
"araacu"	-64.67849	-30.045916
"araacu"	-62.018612	-19.044722
"araacu"	-61.959446	-18.391111
"araacu"	-62.843513	6.240903
"araacu"	-63.59414	8.15025
"araacu"	-60.86	-22.65
"araacu"	-48.164062	-18.424042
"araacu"	-58.59	-24.05
"araacu"	-60.083332	-23.5
"araacu"	-57.8	-22.48
"araacu"	-62.31139	-19.530834
"araacu"	-80.57798	26.645859
"araacu"	-42.106476	-2.698891
"araacu"	-60.393612	-18.958055
"araacu"	-67.97967	-29.888332
"araacu"	-61.380833	-18.458334
"araacu"	-62.126667	-19.937222
"araacu"	-65.59804	-17.605194
"araacu"	-71.975815	4.388774
"araacu"	-60.2775	-18.275555
"araacu"	-59.83	-23.85
"araacu"	-58.66	-27.58
"araacu"	-63.350561	6.835202
"araacu"	-64.29314	11.020237
"araacu"	-66.144165	-18.090279
"araacu"	-56	-22.65
"araacu"	-66.66731	18.335054
"araacu"	-63.15521	10.549542
"araacu"	-65.97103	18.454147
"araacu"	-68.32072	10.936397
"araacu"	-58.43139	-16.365
"araacu"	-64.99807	7.074952
"araacu"	-65.15611	7.454166
"araacu"	-67.22869	6.620957
"araacu"	-67.4025	9.97426
"araacu"	-60.52667	-19.550278
"araacu"	-63.281506	-19.136566
"araacu"	-61.616665	-23.166666
"araacu"	-66.39982	9.103114
"araacu"	-67.64763	10.381791
"araacu"	-54.752308	-24.262602
"araacu"	-73.520966	4.062328
"araacu"	-58.03	-24.55
"araacu"	-61.09713	5.05794
"araacu"	-67.59183	5.646593
"araacu"	-69.98274	10.240631
"araacu"	-82.8728	24.6276
"araacu"	-118.29413	33.705894
"araacu"	-63.654015	-16.96672
"araacu"	-70.73	7.25
"araacu"	-66.189964	-27.636007
"araacu"	-70.23	9.88
"araacu"	-65.67	9.92
"araacu"	-62.4	8.016667
"araacu"	-65.2226	-26.824144
"araacu"	0	0
"araacu"	-79.169178	36.081249
